"TANGGAL","CUSTOMER_CODE","NAME_1","CUSTOMER_SINCE","RT_RW","RESIDENCE","TAX_ID","SECTOR","TOWN_COUNTRY","COUNTRY","CUSTOMER_RATING","SMS_1","PHONE_1","PROVINCE","DISTRICT_CODE","POST_CODE","FUND_SOURCE","MOTH_MAIDEN","PLACE_BIRTH","DATE_OF_BIRTH","GENDER","EMPLOYERS_BUSS","EMPLOYMENT_STATUS","OCCUPATION","MARITAL_STATUS","EDUCATION","RELIGION","LEGAL_ID_NO","LEGAL_TYPE","NATIONALITY","RESIDE_Y_N","GUARANTOR_CODE","SID_RELATI_BANK","LBU_CUST_TYPE","EMPLOYERS_NAME","EMPLOYERS_ADD","STREET","FUND_SOURCE_AMT","COMPANY_BOOK","SHORT_NAME","BUSINESS_TYPE","FIRST_REG_NO","FIRST_REG_DATE","LEGAL_ID","LEGAL_ISS_DATE","LEGAL_EXP_DATE","SID_ECO_SECTOR","ACCOUNT_OFFICER","ADDR_PHONE_AREA","TAXABLE","OFF_PHONE","CUST_TYPE","KOLEK","JOB_TITLE","EMAIL","RISK_LEVEL_ID"
"2025-05-19",10520555,Perum Damanik Hardiansyah,"2021-01-19","007/001",Jl. Cikutra Timur No. 3,"601-28-3818","22",Bontang,Indonesia,B,"4228421020539",+62 (024) 026 8117,Sulawesi Tengah,"1035","61173",Medical illustrator,Oliva,Palopo,"1993-08-30",F,Perum Gunawan Wahyuni,Contract,"Scientist, research (life sciences)",Married,S1,Buddha,"2710445620675543",KTP,ID,N,"4566","1958","1",PD Yuniar (Persero) Tbk,"Gang Dr. Djunjunan No. 71
Madiun, Jawa Tengah 24998",Gang Kutisari Selatan,75049.58,"59",Tbk,"7",QT 1836 NDZ,"2023-11-03",NK 156 OMN,"2022-08-28","2049-01-03","8811","9238",+62 (0527) 111 1615,Y,+62 (80) 988 5165,P,"5",Pharmacologist,suwarnonadine@example.com,"1"
"2025-05-19",11142455,PT Permata (Persero) Tbk,"2018-01-04","003/002",Jl. Sentot Alibasa No. 5,"118-98-4565","77",Pagaralam,Indonesia,A,"9402445502296",+62 (020) 183 6675,Jawa Timur,"4853","62923",Merchant navy officer,Ira,Salatiga,"1999-12-14",M,PT Mangunsong,Freelance,"Designer, industrial/product",Single,S2,Islam,"1738440682391909",KTP,ID,N,"9565","6183","2",PT Saputra,"Gang Veteran No. 38
Malang, SN 49784",Jl. Suniaraja,21221.66,"734",(Persero) Tbk,"41",G 244 JG,"2022-10-16",A 226 PXN,"2024-07-12","2050-04-27","4910","5351",+62-0885-160-6071,N,+62 (969) 664 1605,P,"3",Dramatherapist,ftarihoran@example.com,"2"
"2025-05-19",10683414,CV Fujiati,"2022-03-11","006/002",Gang Sadang Serang No. 521,"523-82-1869","2",Malang,Indonesia,B,"2312432921277",(0995) 527 1774,Kepulauan Riau,"2638","19602","Therapist, art",Amelia,Pekalongan,"1964-06-05",M,PD Hartati (Persero) Tbk,Freelance,Barista,Married,SMA,Hindu,"1619617240240257",KTP,ID,Y,"7054","5669","1",UD Hutagalung (Persero) Tbk,"Gg. Joyoboyo No. 3
Sibolga, SU 07151",Jl. Pacuan Kuda,44380.27,"557",Tbk,"91",QQ 5466 TFL,"2022-11-17",Z 515 UU,"2020-10-20","2045-05-13","5956","9666",(044) 925 1925,Y,+62 (0629) 148-6528,C,"1",Chief Financial Officer,xmelani@example.org,"1"
"2025-05-19",11416058,UD Najmudin (Persero) Tbk,"2021-03-11","005/002",Jl. HOS. Cokroaminoto No. 141,"520-99-8844","14",Surabaya,Indonesia,C,"9296222927065",+62-0794-738-3473,Papua,"3546","45697","Teacher, English as a foreign language",Maida,Yogyakarta,"1978-07-21",F,Perum Nuraini Andriani (Persero) Tbk,Freelance,"Engineer, communications",Single,S2,Hindu,"7192420297307147",KTP,ID,N,"9280","9004","2",UD Habibi Yuniar,"Jl. Peta No. 247
Palangkaraya, JK 75060",Gang Moch. Toha,90628.31,"867",Tbk,"7",L 152 HAK,"2021-03-03",J 277 PW,"2025-03-26","2026-07-23","2512","7939",+62 (004) 328 9861,N,+62 (0341) 036-9711,P,"1",Restaurant manager,usamahdiah@example.net,"2"
"2025-05-19",10632967,CV Siregar Aryani,"2015-05-28","003/005",Gg. K.H. Wahid Hasyim No. 1,"537-47-1109","21",Meulaboh,Indonesia,C,"654051531952",+62-058-527-7221,Sulawesi Tenggara,"8239","82309",Animator,Ida,Banjar,"1972-12-13",F,UD Saragih,Freelance,"Scientist, biomedical",Single,SMA,Islam,"8954317850893219",KTP,ID,Y,"9938","1590","2",Perum Kusmawati Ramadan (Persero) Tbk,"Jalan Suryakencana No. 41
Palangkaraya, Riau 65277",Gang Ciwastra,58668.45,"152",Tbk,"56",N 451 TFR,"2020-09-05",V 9627 JJO,"2022-12-28","2041-08-04","3088","1685",+62-059-640-1658,N,+62 (02) 970-2135,C,"1",Medical illustrator,cpurnawati@example.net,"2"
"2025-05-19",10958839,PD Uwais Wahyudin,"2022-12-06","004/004",Gg. Suniaraja No. 43,"117-04-3049","86",Pematangsiantar,Indonesia,A,"8144739473121",(0271) 551 8844,Jawa Timur,"6794","83385",Ecologist,Wulan,Pekanbaru,"1974-08-21",F,CV Mandala,Freelance,Fast food restaurant manager,Divorced,SMA,Kristen,"2463685618257044",KTP,ID,Y,"7755","1406","1",PT Tarihoran Puspasari Tbk,"Jl. Rajawali Timur No. 78
Yogyakarta, SR 25177",Jalan M.H Thamrin,73919.88,"341",(Persero) Tbk,"53",NQ 824 BD,"2021-05-26",KW 841 HL,"2022-02-17","2033-01-21","5065","5371","0842498182",Y,+62 (29) 959 0010,P,"4",Technical author,samiah39@example.com,"1"
"2025-05-19",10452060,PD Utami,"2024-08-29","008/004",Gang Pacuan Kuda No. 6,"305-59-1196","26",Cilegon,Indonesia,B,"6773592555625","088 153 7147",Kalimantan Utara,"6728","50001",Counsellor,Cinta,Kupang,"1985-07-09",M,CV Manullang Simbolon Tbk,Permanent,Energy manager,Single,S2,Kristen,"3956721622474192",KTP,ID,N,"2137","5573","2",PD Mulyani Hastuti,"Jalan Dipatiukur No. 87
Jambi, NT 04797",Jalan Dr. Djunjunan,64506.69,"410",Tbk,"87",IX 650 LY,"2023-05-29",S 584 RG,"2020-08-16","2039-07-11","9785","6425","087 849 9121",Y,(055) 852 3986,P,"3","Restaurant manager, fast food",gunawanbahuwarna@example.org,"1"
"2025-05-19",10200762,PD Maryati Tbk,"2017-11-29","005/001",Gang Jamika No. 94,"608-44-8312","14",Tarakan,Indonesia,C,"7055169409749",+62-0097-289-6230,Jambi,"8119","55309","Engineer, aeronautical",Anita,Lubuklinggau,"1987-11-16",F,PD Putra Zulkarnain,Contract,Retail banker,Divorced,S2,Islam,"9102019371641571",KTP,ID,Y,"5173","1727","2",PT Mandala Maryati (Persero) Tbk,"Gang Jend. Sudirman No. 85
Tangerang, BB 33484",Gg. Peta,1167.44,"948",(Persero) Tbk,"69",KP 4419 LRZ,"2024-08-14",ML 2404 YZ,"2020-09-02","2038-03-01","4228","6967",(0473) 384 8421,N,+62-0308-330-1657,P,"3",Chiropodist,adikarapudjiastuti@example.org,"3"
"2025-05-19",10678536,PD Kuswandari Yulianti (Persero) Tbk,"2020-04-06","006/002",Jalan Dipatiukur No. 9,"238-69-0612","93",Padangpanjang,Indonesia,B,"672400499154",(0887) 287 4315,Jawa Timur,"9308","50538",Proofreader,Septi,Tasikmalaya,"1972-01-19",F,UD Sihombing,Contract,Tax inspector,Married,S2,Hindu,"2146505246145019",KTP,ID,Y,"7888","7211","1",CV Suryatmi Uyainah,"Jalan Surapati No. 1
Bogor, SU 30463",Gang Rumah Sakit,61935.98,"309",Tbk,"52",I 301 UL,"2023-12-16",F 8414 MV,"2023-02-15","2047-04-17","9977","1006",+62-0327-279-5687,N,"0833918785",C,"2",Careers adviser,halimhana@example.net,"2"
"2025-05-19",10009616,Perum Nasyiah Maryadi,"2018-03-06","006/008",Jalan Laswi No. 9,"501-12-8362","57",Banjarmasin,Indonesia,B,"2867908740640",+62-910-651-8017,Banten,"4501","77000",Historic buildings inspector/conservation officer,Laila,Yogyakarta,"1968-08-05",F,UD Wibowo Hassanah Tbk,Freelance,Mining engineer,Single,S2,Islam,"5642779261450704",KTP,ID,N,"2530","4848","2",Perum Mansur,"Gg. Ahmad Dahlan No. 300
Pangkalpinang, SN 33752",Jalan Gardujati,23239.43,"204",(Persero) Tbk,"19",TY 3119 AH,"2020-04-14",TV 0673 WBH,"2024-08-03","2033-10-09","1400","1757",+62-028-439-5995,Y,+62-0428-364-4089,C,"5",Economist,fpuspita@example.org,"1"
"2025-05-19",10255313,PD Novitasari Tbk,"2022-06-17","008/007",Gg. Sukabumi No. 873,"870-29-4928","81",Pangkalpinang,Indonesia,C,"8668826343517",+62 (183) 046-9901,Kalimantan Selatan,"4185","60328",Theatre manager,Tari,Pariaman,"1973-08-04",F,UD Budiman (Persero) Tbk,Contract,Energy manager,Single,SMA,Islam,"7764087698872993",KTP,ID,Y,"7965","4585","1",PD Prasasta,"Gg. Peta No. 78
Lhokseumawe, Kepulauan Bangka Belitung 87717",Jalan Soekarno Hatta,80606.88,"713",Tbk,"67",BS 2048 HX,"2024-12-19",JE 3693 GK,"2024-03-31","2045-02-11","8611","1822",+62 (477) 725 2287,Y,+62 (80) 801-0062,P,"4",Exercise physiologist,maryadiajiman@example.org,"1"
"2025-05-19",10439511,UD Halim Safitri Tbk,"2023-09-05","008/009",Gg. Antapani Lama No. 848,"294-03-8229","72",Cirebon,Indonesia,C,"1823398454615",(079) 334 1016,Papua Barat,"6198","68008",Multimedia programmer,Puspa,Banjarmasin,"2002-09-16",F,CV Hutasoit,Freelance,Restaurant manager,Married,SMA,Buddha,"3334591536317849",KTP,ID,Y,"5543","9540","2",UD Pratiwi Kuswoyo (Persero) Tbk,"Gang Cihampelas No. 489
Cirebon, Maluku Utara 39261",Jalan Ahmad Yani,63048.1,"282",(Persero) Tbk,"57",VR 2185 KM,"2020-06-15",N 999 HCK,"2023-05-17","2037-06-26","2269","5681",+62-47-735-8662,Y,(019) 431 1426,C,"3","Designer, exhibition/display",xsimanjuntak@example.org,"2"
"2025-05-19",11384882,PT Samosir,"2022-12-11","009/002",Jalan Gegerkalong Hilir No. 267,"571-72-8396","18",Bima,Indonesia,A,"1581995604661","0839826224",Maluku,"4788","60205","Geologist, wellsite",Nilam,Batam,"1970-10-03",M,UD Andriani Salahudin Tbk,Freelance,Camera operator,Single,SMA,Buddha,"3980313917058746",KTP,ID,N,"7812","2020","1",UD Prayoga Tbk,"Jl. Rajawali Barat No. 659
Magelang, Sulawesi Tengah 69245",Gg. Raya Setiabudhi,83456.23,"399",(Persero) Tbk,"99",KJ 7935 XW,"2023-03-14",Z 1939 ML,"2024-08-22","2032-07-02","1320","7232","0807374167",N,+62 (43) 426 6179,P,"3",Quality manager,gnasyidah@example.net,"2"
"2025-05-19",11427833,Perum Firgantoro Tarihoran (Persero) Tbk,"2017-03-28","007/007",Jalan H.J Maemunah No. 0,"577-83-6548","69",Palangkaraya,Indonesia,C,"143888993756",(0982) 507 1461,Jambi,"9947","89069",Curator,Kamaria,Makassar,"1990-05-13",M,Perum Laksmiwati Tampubolon,Contract,Publishing copy,Single,S1,Buddha,"1261432450156735",KTP,ID,N,"6507","7624","1",PD Hartati,"Jalan Gardujati No. 512
Pematangsiantar, KB 58673",Jalan K.H. Wahid Hasyim,84210.06,"942",Tbk,"17",AX 7966 TG,"2020-01-14",GI 191 YWZ,"2024-07-26","2032-09-27","9751","1441",+62 (537) 147-8596,N,(091) 557 9249,P,"1",Therapeutic radiographer,wulandariembuh@example.com,"3"
"2025-05-19",11248524,CV Samosir,"2017-05-14","007/003",Jalan Monginsidi No. 69,"142-74-6287","60",Denpasar,Indonesia,A,"8282742257905",+62-72-368-8767,Sulawesi Barat,"1823","44099","Producer, radio",Nurul,Bau-Bau,"1997-11-08",F,CV Siregar,Contract,Amenity horticulturist,Single,S1,Hindu,"7856547370430367",KTP,ID,N,"5558","7906","2",CV Nasyiah Tbk,"Jalan Joyoboyo No. 485
Tual, Sulawesi Tengah 61340",Gang Sentot Alibasa,83656.18,"482",(Persero) Tbk,"3",DY 9596 ZHG,"2021-05-30",ZG 095 GZ,"2024-07-11","2035-12-11","9837","1853","0825449481",N,+62 (60) 422 3253,P,"1","Nurse, learning disability",kmegantara@example.net,"3"
"2025-05-19",10896278,PD Waluyo Tbk,"2016-08-30","001/001",Gang Soekarno Hatta No. 75,"596-01-1527","32",Subulussalam,Indonesia,A,"1863637454589",+62 (97) 500 1701,Jawa Timur,"1333","91439",Prison officer,Mutia,Pagaralam,"1973-02-22",M,UD Manullang Saefullah,Permanent,Chief Financial Officer,Single,S1,Islam,"9536636470087522",KTP,ID,Y,"8619","5198","2",UD Hutasoit Tbk,"Gang Moch. Ramdan No. 11
Jambi, Sulawesi Utara 29387",Jl. Sadang Serang,17611.13,"622",(Persero) Tbk,"96",WE 3611 PC,"2020-11-16",L 2218 JEM,"2024-10-16","2026-09-01","2876","3683",+62 (75) 326-9731,N,+62 (021) 965-6523,P,"5",Health and safety inspector,prayogaintan@example.net,"1"
"2025-05-19",10749796,PT Wahyuni Tbk,"2018-11-15","005/007",Gang H.J Maemunah No. 376,"116-31-8186","51",Pontianak,Indonesia,C,"5526965827109",+62 (004) 300 6848,Sulawesi Barat,"4249","19961",Pharmacologist,Tira,Bau-Bau,"2002-12-19",M,UD Hutasoit Saragih,Permanent,Careers information officer,Divorced,S1,Islam,"9861684887555062",KTP,ID,Y,"6688","9728","2",CV Nasyiah Simbolon,"Gang Moch. Toha No. 316
Palu, BE 21020",Gg. Sentot Alibasa,66490.61,"71",Tbk,"65",LE 410 XY,"2022-11-06",IQ 9177 CI,"2024-05-05","2038-08-19","6590","1207",+62-079-252-4191,N,+62-0800-030-7562,C,"1",Editorial assistant,puspasaritalia@example.com,"2"
"2025-05-19",10840819,UD Prayoga Agustina,"2020-10-27","006/008",Gg. Gedebage Selatan No. 0,"184-29-8451","91",Padang,Indonesia,A,"7445187053494",+62-0759-738-3206,Bali,"8135","33086","Exhibitions officer, museum/gallery",Puput,Subulussalam,"2006-07-27",F,UD Adriansyah,Freelance,Mudlogger,Divorced,S1,Buddha,"8437553787588431",KTP,ID,N,"6280","5022","1",PT Putra (Persero) Tbk,"Jl. Pelajar Pejuang No. 038
Tanjungpinang, PA 19182",Jalan Kutai,28613.9,"462",(Persero) Tbk,"32",VE 4565 HJ,"2022-09-15",IH 9121 CGE,"2021-05-25","2041-09-04","8613","7209",(0561) 853 7474,N,+62 (012) 490-3521,P,"4",Fish farm manager,prima80@example.net,"2"
"2025-05-19",10850112,UD Natsir (Persero) Tbk,"2022-04-04","003/008",Jl. Rawamangun No. 210,"064-29-2142","28",Padang,Indonesia,B,"1994101372151",+62-070-296-6706,Sulawesi Selatan,"5232","54608",Drilling engineer,Kamila,Denpasar,"1978-02-02",F,PD Maryadi (Persero) Tbk,Freelance,Visual merchandiser,Divorced,S1,Islam,"9539389340790525",KTP,ID,Y,"2402","4954","2",UD Mandasari Zulkarnain,"Gg. Sukajadi No. 638
Sorong, BA 57875",Gang Pasteur,49369.21,"777",(Persero) Tbk,"31",K 040 TH,"2024-01-05",Y 1334 SHF,"2024-07-16","2028-04-12","8800","9041",+62-0965-223-9559,N,+62-59-929-3784,P,"1",Economist,ffirgantoro@example.org,"2"
"2025-05-19",11465720,Perum Prasetya Damanik,"2024-05-02","004/007",Gg. Kendalsari No. 252,"822-42-0976","89",Bontang,Indonesia,A,"1851569154522",(075) 289-5392,Papua Barat,"6016","97026",Information systems manager,Uchita,Blitar,"1971-06-21",F,Perum Wijaya,Contract,Tax inspector,Divorced,S2,Hindu,"9976857138319709",KTP,ID,N,"6764","8434","2",CV Suartini,"Gg. Ir. H. Djuanda No. 13
Lubuklinggau, JI 57043",Jl. Sentot Alibasa,31355.68,"237",Tbk,"16",X 762 ABM,"2023-07-10",ML 7932 RMD,"2023-11-03","2028-11-20","4155","6169",+62-040-541-1526,Y,+62 (18) 159-9706,P,"2","Development worker, international aid",dmanullang@example.org,"1"
"2025-05-19",10673550,CV Nainggolan Tbk,"2024-10-21","008/005",Gang Moch. Toha No. 069,"563-63-2517","93",Mataram,Indonesia,C,"6149731032417",+62 (046) 774-1862,Papua,"9595","88222",Museum/gallery curator,Kartika,Palopo,"1962-05-31",F,PD Hastuti Tbk,Permanent,Equities trader,Single,S1,Kristen,"2616266462933922",KTP,ID,N,"1231","9751","1",Perum Halim (Persero) Tbk,"Gang Kutai No. 806
Prabumulih, Sulawesi Utara 74160",Jl. Cihampelas,28156.82,"998",(Persero) Tbk,"7",GZ 061 GE,"2023-09-14",UE 116 TIK,"2024-09-24","2039-11-25","5786","3068","0854870998",N,(016) 229-9911,P,"1","Surveyor, quantity",suwarnogabriella@example.com,"3"
"2025-05-19",11331484,UD Winarno Yolanda Tbk,"2025-02-09","005/008",Jl. Pelajar Pejuang No. 29,"624-88-6582","62",Mojokerto,Indonesia,B,"3074505444713",+62 (47) 546 9137,Kalimantan Tengah,"6582","34164",Optometrist,Ulya,Tual,"1994-07-11",M,PT Mulyani (Persero) Tbk,Contract,Brewing technologist,Married,SMA,Islam,"5429259759469379",KTP,ID,Y,"1878","3485","1",Perum Waskita (Persero) Tbk,"Jl. Cikutra Barat No. 070
Tarakan, Kalimantan Selatan 57861",Jl. Soekarno Hatta,81303.07,"972",Tbk,"39",FP 5241 SRL,"2022-06-04",M 933 BF,"2021-11-30","2049-06-09","2395","5066",+62-468-007-2290,Y,+62-0494-466-5743,C,"5","Psychologist, prison and probation services",victoria89@example.com,"3"
"2025-05-19",11063579,PT Melani,"2021-09-29","004/009",Jalan Ronggowarsito No. 545,"883-36-4279","49",Depok,Indonesia,B,"8309652074466",(009) 935 3875,Sumatera Selatan,"8253","48974",Hydrologist,Zulfa,Surabaya,"1997-05-14",F,UD Kuswoyo Halimah,Contract,"Conservation officer, historic buildings",Divorced,S2,Islam,"9647893499037042",KTP,ID,Y,"4404","4457","2",Perum Najmudin Tbk,"Jalan Rajawali Timur No. 55
Sawahlunto, Lampung 17099",Gg. Kebonjati,66382.39,"161",(Persero) Tbk,"31",QJ 2235 NB,"2023-06-25",EK 1752 WFY,"2022-08-31","2047-12-20","3847","2229",+62-007-432-9271,Y,+62 (96) 666 7600,P,"4","Social research officer, government",pangeranbudiman@example.com,"2"
